11.1.1.6. Jogerõsen elítéltek;;;
Év;Fiatalkorú;Felnõtt;Összesen
1990;5 156;42 538;47 694
1991;6 200;59 447;65 647
1992;6 898;70 583;77 481
1993;6 608;67 873;74 481
1994;7 537;70 787;78 324
1995;8 717;77 029;85 746
1996;7 769;75 525;83 294
1997;7 447;80 626;88 073
1998;8 036;89 249;97 285
1999;7 750;88 436;96 186
2000;7 524;87 689;95 213
2001;7 029;88 241;95 270
2002;7 321;92 405;99 726
2003;6 726;87 476;94 202
2004;7 086;91 890;98 976
2005;7 239;91 285;98 524
2006;7 120;90 324;97 444
2007;6 197;81 305;87 502
2008;6 234;78 223;84 457
2009;6 283;80 618;86 901
2010;6 554;82 789;89 343
2011;5 840;79 270;85 110
2012;5 096;70 195;75 291
2013;5 497;67 277;72 774
2014;5 547;70 919;76 466
2015;4 538;67 216;71 754
2016;4 136;67 550;71 686
2017;3 730;65 005;68 735
2018;3 369;63 313;66 682
2019;2 858;61 179;64 037
2020;2 322;50 428;52 750
2021;2 237;52 699;54 936
2022;2 188;53 219;55 407
2023;2 306;53 370;55 676
